Team,Conference,Record,SP+,Rk,Off. SP+,Rk,Def. SP+,Rk,ST SP+,Rk,,Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
San Diego State,MWC,1-3,-10.7,101,17,121,27.3,69,-0.4,124,,,,,,,,,,,,,,
Nevada,MWC,2-3,-11,102,22,101,32.6,106,-0.4,128,,,,,,,,,,,,,,
Miami-OH,MAC,1-3,-11,103,14.2,129,25.2,51,0,73,,,,,,,,,,,,,,
Rice,AAC,1-4,-11.3,104,21.8,102,32.8,108,-0.3,121,,,,,,,,,,,,,,
Florida Atlantic,AAC,2-3,-11.5,105,17.2,117,28.5,79,-0.2,105,,,,,,,,,,,,,,
Colorado State,MWC,2-2,-11.7,106,20.4,106,32,102,0,74,,,,,,,,,,,,,,
Old Dominion,Sun Belt,1-3,-12.1,107,19.1,109,31,99,-0.2,88,,,,,,,,,,,,,,
UAB,AAC,1-3,-12.3,108,26,82,38.5,128,0.2,39,,,,,,,,,,,,,,
Eastern Michigan,MAC,4-1,-12.7,109,17.8,114,30.8,98,0.3,21,,,,,,,,,,,,,,
Jacksonville State,CUSA,1-3,-12.8,110,24,90,36.6,123,-0.2,94,,,,,,,,,,,,,,
Georgia State,Sun Belt,2-2,-12.8,111,23,93,35.5,117,-0.3,112,,,,,,,,,,,,,,
Buffalo,MAC,3-2,-13.1,112,13.3,131,26.5,65,0,65,,,,,,,,,,,,,,
Air Force,MWC,1-3,-13.3,113,14.6,128,27.6,71,-0.3,111,,,,,,,,,,,,,,
Tulsa,AAC,2-3,-13.4,114,22,100,35.2,115,-0.2,102,,,,,,,,,,,,,,
Florida International,CUSA,2-3,-13.7,115,20.5,104,33.8,110,-0.4,125,,,,,,,,,,,,,,
Louisiana Tech,CUSA,1-3,-14.1,116,16.5,122,30.8,97,0.1,52,,,,,,,,,,,,,,
Central Michigan,MAC,3-2,-14.2,117,19.7,107,33.8,112,0,72,,,,,,,,,,,,,,
Utah State,MWC,1-3,-14.9,118,26.1,78,40.8,133,-0.2,107,,,,,,,,,,,,,,
Wyoming,MWC,1-4,-15.4,119,16.5,123,32,103,0.2,44,,,,,,,,,,,,,,
UL-Monroe,Sun Belt,3-1,-15.4,120,15.9,126,31.3,100,0,70,,,,,,,,,,,,,,
Western Michigan,MAC,1-3,-16.1,121,19.5,108,35.5,116,-0.2,90,,,,,,,,,,,,,,
Massachusetts,Indies,1-4,-16.6,122,17.7,115,33.8,111,-0.5,132,,,,,,,,,,,,,,
Arkansas State,Sun Belt,2-2,-17.4,123,21.7,103,38.9,129,-0.2,101,,,,,,,,,,,,,,
Southern Miss,Sun Belt,1-3,-18.5,124,19,110,37.2,126,-0.3,119,,,,,,,,,,,,,,
Charlotte,AAC,2-3,-18.6,125,17.6,116,36.3,121,0.1,64,,,,,,,,,,,,,,
New Mexico State,CUSA,1-4,-19.5,126,17,119,36.7,124,0.2,30,,,,,,,,,,,,,,
New Mexico,MWC,1-4,-19.6,127,22.7,97,41.8,134,-0.5,133,,,,,,,,,,,,,,
Temple,AAC,1-4,-20.9,128,17.9,113,39,130,0.2,49,,,,,,,,,,,,,,
Middle Tennessee,CUSA,1-4,-21.2,129,17,118,38,127,-0.3,110,,,,,,,,,,,,,,
UTEP,CUSA,0-4,-23,130,13,132,35.5,118,-0.4,126,,,,,,,,,,,,,,
Ball State,MAC,1-3,-23.3,131,16.2,125,39.3,131,-0.2,93,,,,,,,,,,,,,,
Akron,MAC,1-4,-24,132,9.7,133,33.8,113,0.2,37,,,,,,,,,,,,,,
Kent State,MAC,0-5,-26,133,13.9,130,39.5,132,-0.4,129,,,,,,,,,,,,,,
Kennesaw State,CUSA,0-4,-29.1,134,8,134,37.2,125,0.1,60,,,,,,,,,,,,,,
