Team,Conference,Record,SP+,Rk,Off. SP+,Rk,Def. SP+,Rk,,Date,Time (ET),Game,Proj_winner,Proj_margin,Win_prob,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
Toledo,MAC,0-0,-7.0,87,18.2,114,25.2,48,,31-Aug,8:00 PM,Lamar at Texas State,Texas State,31.2,97%,49-18,,,,,,
Air Force,MWC,0-0,-7.1,88,19.3,107,26.4,57,,31-Aug,8:00 PM,Nicholls State at Louisiana Tech,Louisiana Tech,9.4,72%,35-25,,,,,,
Vanderbilt,SEC,0-0,-7.3,89,26.6,68,33.9,105,,31-Aug,8:00 PM,Robert Morris at Utah State,Utah State,34.2,98%,53-19,,,,,,
Wyoming,MWC,0-0,-8.0,90,20.3,102,28.3,68,,31-Aug,8:00 PM,Southern Illinois at BYU,BYU,8.3,70%,34-26,,,,,,
San Diego State,MWC,0-0,-8.9,91,20.7,99,29.6,79,,31-Aug,8:00 PM,Texas A&M-Commerce at San Diego State,San Diego State,30.8,97%,41-10,,,,,,
Rice,AAC,0-0,-9.0,92,25.2,76,34.2,113,,31-Aug,9:00 PM,SE Missouri State at New Mexico State,New Mexico State,7.1,67%,31-24,,,,,,
Arkansas State,Sun Belt,0-0,-9.1,93,27.4,65,36.5,123,,31-Aug,10:30 PM,New Mexico at Arizona,Arizona,32.5,98%,46-13,Arizona -30.5,Arizona,2,57.5,Over,1.7
East Carolina,AAC,0-0,-9.5,94,18.4,111,27.9,66,,31-Aug,10:30 PM,Wyoming at Arizona State,Arizona State,6.5,66%,29-22,Arizona State -6.5,Arizona State,0,47.5,Over,3.6
Marshall,Sun Belt,0-0,-9.9,95,24.0,83,33.9,107,,31-Aug,11:00 PM,Weber State at Washington,Washington,25.6,95%,42-17,,,,,,
Jacksonville State,CUSA,0-0,-9.9,96,21.8,94,31.7,93,,1-Sep,7:30 PM,LSU vs. USC,LSU,9.2,72%,41-31,LSU -4.5,LSU,4.7,63.5,Over,8.7
Georgia Southern,Sun Belt,0-0,-10.3,97,26.5,69,36.8,125,,2-Sep,7:30 PM,Boston College at Florida State,Florida State,19.6,89%,36-16,Florida State -17,Florida State,2.6,50.5,Over,1.9
Northern Illinois,MAC,0-0,-10.6,98,15.8,123,26.4,58,,,,,,,,,,,,,,
UAB,AAC,0-0,-10.6,99,31.5,42,42.1,134,,,,,,,,,,,,,,
Colorado State,MWC,0-0,-10.6,100,23.5,88,34.1,110,,,,,,,,,,,,,,
San Jose State,MWC,0-0,-11.0,101,21.6,95,32.7,98,,,,,,,,,,,,,,
Utah State,MWC,0-0,-11.1,102,30.5,52,41.6,132,,,,,,,,,,,,,,
Army,AAC,0-0,-11.1,103,17.8,117,28.9,73,,,,,,,,,,,,,,
Bowling Green,MAC,0-0,-11.2,104,21.3,98,32.5,96,,,,,,,,,,,,,,
North Texas,AAC,0-0,-11.3,105,30.8,47,42.1,133,,,,,,,,,,,,,,
Georgia State,Sun Belt,0-0,-11.3,106,22.8,90,34.1,111,,,,,,,,,,,,,,
Ohio,MAC,0-0,-12.0,107,11.2,133,23.2,37,,,,,,,,,,,,,,
Florida Atlantic,AAC,0-0,-12.2,108,16.5,122,28.7,71,,,,,,,,,,,,,,
Hawaii,MWC,1-0,-12.3,109,21.6,96,33.9,106,,,,,,,,,,,,,,
Western Michigan,MAC,0-0,-12.9,110,20.3,104,33.1,102,,,,,,,,,,,,,,
Old Dominion,Sun Belt,0-0,-13.1,111,22.0,93,35.1,116,,,,,,,,,,,,,,
Nevada,MWC,0-1,-13.1,112,20.6,100,33.8,104,,,,,,,,,,,,,,
Tulsa,AAC,0-0,-13.2,113,23.9,84,37.1,126,,,,,,,,,,,,,,
Navy,AAC,0-0,-13.3,114,15.3,124,28.6,70,,,,,,,,,,,,,,
Middle Tennessee,CUSA,0-0,-13.4,115,20.6,101,34.0,109,,,,,,,,,,,,,,
Sam Houston,CUSA,0-0,-14.2,116,18.4,112,32.7,99,,,,,,,,,,,,,,
New Mexico State,CUSA,0-0,-15.5,117,19.5,105,35.0,114,,,,,,,,,,,,,,
Central Michigan,MAC,0-0,-15.9,118,18.3,113,34.2,112,,,,,,,,,,,,,,
Eastern Michigan,MAC,0-0,-15.9,119,13.1,130,29.0,75,,,,,,,,,,,,,,
Southern Miss,Sun Belt,0-0,-16.1,120,20.3,103,36.4,122,,,,,,,,,,,,,,
Louisiana Tech,CUSA,0-0,-16.7,121,21.5,97,38.2,129,,,,,,,,,,,,,,
Ball State,MAC,0-0,-16.9,122,14.4,126,31.3,91,,,,,,,,,,,,,,
Buffalo,MAC,0-0,-17.0,123,12.1,132,29.0,74,,,,,,,,,,,,,,
New Mexico,MWC,0-1,-17.7,124,19.0,109,36.0,120,,,,,,,,,,,,,,
UTEP,CUSA,0-0,-17.8,125,15.1,125,32.9,101,,,,,,,,,,,,,,
Connecticut,Indies,0-0,-17.9,126,14.1,129,32.0,94,,,,,,,,,,,,,,
Charlotte,AAC,0-0,-18.1,127,17.1,120,35.2,118,,,,,,,,,,,,,,
Florida International,CUSA,0-0,-19.0,128,18.7,110,37.7,128,,,,,,,,,,,,,,
Massachusetts,Indies,0-0,-20.1,129,19.0,108,39.1,130,,,,,,,,,,,,,,
Kent State,MAC,0-0,-20.9,130,14.2,128,35.1,115,,,,,,,,,,,,,,
Kennesaw State,CUSA,0-0,-20.9,131,13.1,131,34.0,108,,,,,,,,,,,,,,
Temple,AAC,0-0,-21.9,132,17.8,116,39.7,131,,,,,,,,,,,,,,
Akron,MAC,0-0,-22.2,133,6.9,134,29.1,76,,,,,,,,,,,,,,
UL-Monroe,Sun Belt,0-0,-23.4,134,14.3,127,37.7,127,,,,,,,,,,,,,,
