team,conference,CFB_Week,VoA_Output,VoA_Ranking_Ovr,VoA_Rating_Ovr
Clemson,ACC,1,48.019367223062275,71,-4.498251321898498
UTEP,Conference USA,1,66.7020617745257,121,-16.483527915351615
Texas A&M,SEC,1,46.996387726739215,21,7.2845144420761025
Nevada,Mountain West,1,77.04175871891573,125,-21.09836390440181
UCLA,Big Ten,1,44.14735745749243,45,0.8346860840304353
Georgia Tech,ACC,1,59.13471212782919,47,-0.7997868482406472
Missouri,SEC,1,46.73002666670479,17,8.277904210300216
Army,American Athletic,1,57.34652718887892,70,-4.275482490060039
Houston,Big 12,1,60.200710043152995,103,-11.985552910834908
Arkansas,SEC,1,50.33003550128602,43,1.1733614745404406
Miami (OH),Mid-American,1,56.83835672885223,49,-1.3141832471172237
Notre Dame,FBS Independents,1,37.04169304968246,14,10.584985512865432
Western Michigan,Mid-American,1,65.21873231890115,115,-14.935127747585351
BYU,Big 12,1,58.35879715627798,77,-5.431841298491827
Southern Miss,Sun Belt,1,73.88856455425032,124,-20.647915363512364
Stanford,ACC,1,78.67806235101646,126,-22.31525065108885
Louisiana,Sun Belt,1,54.33973320833988,57,-2.3482923041742483
USC,Big Ten,1,50.02456145380144,31,3.89112399629989
Memphis,American Athletic,1,48.03629114727272,24,5.501418424124275
Oklahoma State,Big 12,1,59.70671253321356,51,-1.791690284763856
Cincinnati,Big 12,1,48.75675780676087,79,-5.675024375236282
North Texas,American Athletic,1,59.61640049935514,92,-9.535961973830377
Arizona,Big 12,1,50.74975479821134,27,4.720957086668273
Colorado State,Mountain West,1,68.32031684022182,123,-20.475284324349985
Kansas State,Big 12,1,39.716720033390594,13,11.082792414276827
Texas State,Sun Belt,1,56.93266369371239,61,-3.0427547752227477
Charlotte,American Athletic,1,72.07882827002776,127,-22.648469047182378
Kennesaw State,Conference USA,1,58.81974550260605,67,-4.096801782509136
Baylor,Big 12,1,56.93634971797149,102,-11.442609794511489
Boston College,ACC,1,64.77630609810427,96,-9.952563146035112
East Carolina,American Athletic,1,60.094338693983254,93,-9.59416494426645
Massachusetts,FBS Independents,1,77.79240032936723,129,-23.03776232934429
UL Monroe,Sun Belt,1,76.01466429813937,132,-23.83842799354497
Ball State,Mid-American,1,65.66941807996606,108,-13.41811369474741
Central Michigan,Mid-American,1,64.65336886568466,114,-14.579034543552616
Ole Miss,SEC,2,38.57120851897008,1,27.46306937472886
Georgia,SEC,2,28.01502746248983,2,25.027772140779028
Alabama,SEC,2,30.24063806245285,3,24.16856768834287
Ohio State,Big Ten,2,28.7013296340131,4,23.802463088607155
Tennessee,SEC,2,32.91616552721074,5,23.365783091405397
Louisville,ACC,2,42.577715051615144,6,20.87562373527408
Texas,SEC,2,35.43603638331647,7,19.274772970385555
Missouri,SEC,2,45.06847722564205,8,17.05899943635154
UCF,Big 12,2,43.29193853907479,9,16.82042925118417
Miami,ACC,2,46.785397353347406,10,15.587722077469099
Oklahoma,SEC,2,43.628527732108616,11,14.115153697383871
Penn State,Big Ten,2,36.402220117289005,12,14.035672688284798
Washington,Big Ten,2,42.19308973427233,13,12.84216009600051
Texas A&M,SEC,2,48.82098908949728,14,12.793850837138017
Kansas State,Big 12,2,40.753050702384535,15,12.284668265916721
Oregon,Big Ten,2,38.456448384598225,16,12.000455211382636
James Madison,Sun Belt,2,45.64925555778468,17,11.640708576458426
Purdue,Big Ten,2,54.768479908905725,18,11.139991983135028
Auburn,SEC,2,52.371976122337465,19,10.861389129314755
Memphis,American Athletic,2,47.69322483462221,20,10.67899137437986
SMU,ACC,2,44.18310880624158,21,10.203676339547874
Oregon State,Pac-12,2,39.536232903001356,22,10.175407545393929
Toledo,Mid-American,2,43.73785600617957,23,10.063501486816106
UNLV,Mountain West,2,56.28336770403912,24,9.797727305793439
USC,Big Ten,2,45.40596867175791,25,9.74756754951208
Washington State,Pac-12,2,54.219127620528226,26,9.61451172498692
Michigan,Big Ten,2,34.5313717379153,27,8.917602098667757
Utah,Big 12,2,46.301871962886345,28,8.655269084906692
Arkansas,SEC,2,52.818081190099626,29,8.305396205580665
TCU,Big 12,2,46.421910094335246,30,8.051009906906378
LSU,SEC,2,44.652834055102836,31,7.219680109139858
Arizona,Big 12,2,47.811871584815634,32,7.057083641035141
Tulane,American Athletic,2,43.04383939307531,33,6.835166346038285
Indiana,Big Ten,2,64.15437545753458,34,6.634749921070812
Maryland,Big Ten,2,50.565639896633975,35,6.249192020652989
Clemson,ACC,2,44.85860146045631,36,5.223804479700618
Duke,ACC,2,48.842186859088315,37,5.008215200799329
Notre Dame,FBS Independents,2,40.65935405928287,38,4.847485580712011
Rutgers,Big Ten,2,58.91969573406524,39,4.567791757775097
Liberty,Conference USA,2,44.41874412222309,40,4.504003221255859
UCLA,Big Ten,2,46.02724668693202,41,4.259564216219997
Kansas,Big 12,2,44.92804161680786,42,4.031705399856005
Boise State,Mountain West,2,46.255207899305454,43,3.276930754129128
West Virginia,Big 12,2,55.68799366916497,44,3.1531600550607344
Texas State,Sun Belt,2,54.61187701398555,45,2.908209714378885
Northern Illinois,Mid-American,2,58.373962318825576,46,2.797799138085937
Louisiana,Sun Belt,2,54.344835947614584,47,2.7150634224601378
Nebraska,Big Ten,2,57.44768916302659,48,2.708849931626847
Navy,American Athletic,2,57.19900573636742,49,2.4888125960880148
Boston College,ACC,2,62.224411657935796,50,2.446385146832323
Mississippi State,SEC,2,56.79441463135099,51,1.7864545963132255
App State,Sun Belt,2,52.42181097007062,52,1.730339946601851
Wisconsin,Big Ten,2,48.35068945680219,53,1.5132297158012404
Iowa,Big Ten,2,59.32579042543255,54,1.3094315020471128
Rice,American Athletic,2,60.63822673551061,55,1.223632299165954
Florida,SEC,2,51.90252225709777,56,0.8060438269314535
Iowa State,Big 12,2,52.988901674238676,57,0.8035889842254531
Army,American Athletic,2,57.20161794108874,58,0.8029913997459546
UTSA,American Athletic,2,46.792443679703446,59,0.5858629670675812
Coastal Carolina,Sun Belt,2,54.073530468993496,60,0.4209337545832561
Pittsburgh,ACC,2,54.137939504950964,61,0.3491300139060489
Illinois,Big Ten,2,53.0606354788619,62,0.31144165357613174
San José State,Mountain West,2,52.656265488920496,63,-0.6360151759804407
Minnesota,Big Ten,2,56.34123030717662,64,-0.7655372947863414
Marshall,Sun Belt,2,57.90509831548967,65,-0.8019197171572355
Oklahoma State,Big 12,2,64.54445135288282,66,-1.203100667648381
Georgia Tech,ACC,2,59.20777595001462,67,-1.2802040018473744
Cincinnati,Big 12,2,53.540583842677485,68,-1.50846694960525
Florida State,ACC,2,41.77939287497666,69,-1.728944135750241
Air Force,Mountain West,2,43.61661492442384,70,-1.760786102569089
BYU,Big 12,2,59.997395549767056,71,-2.0302605919456322
Vanderbilt,SEC,2,71.38939749471194,72,-2.4407810179535403
South Carolina,SEC,2,58.68619936210602,73,-2.496769914859522
North Carolina,ACC,2,50.64321342098371,74,-2.512338887259161
Kentucky,SEC,2,55.04578197636681,75,-2.6065449428813388
East Carolina,American Athletic,2,59.60145057090986,76,-2.741462553961962
North Texas,American Athletic,2,58.78593002519708,77,-3.24246257676148
Virginia Tech,ACC,2,59.549500489560046,78,-3.4776311937681954
South Alabama,Sun Belt,2,43.04575482811692,79,-3.8038286540461224
Wake Forest,ACC,2,63.70282656613635,80,-3.8072193578310185
South Florida,American Athletic,2,61.41482890692659,81,-4.053030318830751
Fresno State,Mountain West,2,53.3363235066259,82,-4.689989563724515
New Mexico State,Conference USA,2,56.71052230140148,83,-4.972017141717262
Syracuse,ACC,2,53.44499003579878,84,-5.463590915640939
Tulsa,American Athletic,2,62.650564268375526,85,-5.481798374481723
Ohio,Mid-American,2,57.02622471296556,86,-6.23798604579866
Virginia,ACC,2,66.74385069779947,87,-6.577422762501296
Miami (OH),Mid-American,2,59.55936083152704,88,-6.695802740693976
Baylor,Big 12,2,59.64017434692146,89,-7.078763833712091
Troy,Sun Belt,2,48.766351369379024,90,-7.168810161146588
Ball State,Mid-American,2,64.21708499010869,91,-7.183318667722548
Jacksonville State,Conference USA,2,63.6663756337323,92,-7.327894531220066
UAB,American Athletic,2,50.26553766636312,93,-7.838735860486513
Arizona State,Big 12,2,66.37704419810733,94,-8.033416225473895
Bowling Green,Mid-American,2,62.14857307795978,95,-8.274564170516822
Louisiana Tech,Conference USA,2,72.44757858649442,96,-9.354014482406896
California,ACC,2,61.29405829082393,97,-9.876853465888136
Michigan State,Big Ten,2,72.53527428808864,98,-10.230510373505332
NC State,ACC,2,57.31838956563038,99,-10.28722736147018
Northwestern,Big Ten,2,71.15268070695889,100,-10.549800231972345
UConn,FBS Independents,2,70.26870269932967,101,-10.632890418600896
Texas Tech,Big 12,2,56.632653246147214,102,-11.86707102249258
Kennesaw State,Conference USA,2,59.52333519625105,103,-12.109048289300365
Georgia State,Sun Belt,2,64.8462577669341,104,-12.361411397529428
Florida Atlantic,American Athletic,2,65.48595594803861,105,-12.679961000467042
Southern Miss,Sun Belt,2,68.62215921392311,106,-12.769899551776925
Sam Houston,Conference USA,2,69.3061534537014,107,-13.12241541062377
Arkansas State,Sun Belt,2,69.54556466269408,108,-13.175412505079823
Western Kentucky,Conference USA,2,57.594046814965296,109,-13.280223960154853
San Diego State,Mountain West,2,62.86681596183682,110,-13.516522622489662
Georgia Southern,Sun Belt,2,61.94773682093039,111,-13.531371192047668
Old Dominion,Sun Belt,2,66.08156095643088,112,-13.733136504531757
Utah State,Mountain West,2,63.94734511310967,113,-14.19658388419158
