id,season,week,completed,home_team,home_classification,home_points,away_team,away_classification,away_points,result,winner,mean_spread,home_moneyline,away_moneyline,proj_margin,VoA_AE,vegas_AE,VoA_SE,vegas_SE,VoA_correct_winner,vegas_correct_winner,VoA_ATS_winner,VoA_AEATS_winner
401858434,2026,1,true,Penn State,fbs,45,Marshall,fbs,0,-45,Penn State,-23.5,-1800,1000,-32.3141109119476,12.685889088052399,21.5,160.93178195436693,462.25,1,1,1,1
401856667,2026,1,true,Texas,fbs,59,Texas State,fbs,7,-52,Texas,-29.5,-9000,2500,-13.836512748214748,38.163487251785256,22.5,1456.4517592171758,506.25,1,1,0,0
401856667,2026,1,true,Texas,fbs,59,Texas State,fbs,7,-52,Texas,-29.5,,,-13.836512748214748,38.163487251785256,22.5,1456.4517592171758,506.25,1,1,0,0
401856667,2026,1,true,Texas,fbs,59,Texas State,fbs,7,-52,Texas,-29.5,-10000,2500,-13.836512748214748,38.163487251785256,22.5,1456.4517592171758,506.25,1,1,0,0
401856777,2026,1,true,Cincinnati,fbs,34,Boston College,fbs,15,-19,Cincinnati,-7.0,-278,225,-12.993883271893555,6.006116728106445,12.0,36.07343815164007,144.0,1,1,1,1
401856777,2026,1,true,Cincinnati,fbs,34,Boston College,fbs,15,-19,Cincinnati,-7.0,,,-12.993883271893555,6.006116728106445,12.0,36.07343815164007,144.0,1,1,1,1
401856777,2026,1,true,Cincinnati,fbs,34,Boston College,fbs,15,-19,Cincinnati,-7.0,-270,220,-12.993883271893555,6.006116728106445,12.0,36.07343815164007,144.0,1,1,1,1
401858209,2026,1,true,Duke,fbs,17,Tulane,fbs,3,-14,Duke,-9.5,-380,300,1.3153334171563493,15.31533341715635,4.5,234.55943767866597,20.25,0,1,0,0
401858209,2026,1,true,Duke,fbs,17,Tulane,fbs,3,-14,Duke,-8.0,-480,350,1.3153334171563493,15.31533341715635,6.0,234.55943767866597,36.0,0,1,0,0
401858209,2026,1,true,Duke,fbs,17,Tulane,fbs,3,-14,Duke,-9.5,,,1.3153334171563493,15.31533341715635,4.5,234.55943767866597,20.25,0,1,0,0
401858433,2026,1,true,Oregon,fbs,34,Boise State,fbs,27,-7,Oregon,-24.5,-2800,1300,-23.683752233871257,16.683752233871257,17.5,278.34758860120417,306.25,1,1,1,1
401858433,2026,1,true,Oregon,fbs,34,Boise State,fbs,27,-7,Oregon,-25.0,-3300,1100,-23.683752233871257,16.683752233871257,18.0,278.34758860120417,324.0,1,1,1,1
401858433,2026,1,true,Oregon,fbs,34,Boise State,fbs,27,-7,Oregon,-24.5,,,-23.683752233871257,16.683752233871257,17.5,278.34758860120417,306.25,1,1,1,1
401856636,2026,1,true,Auburn,fbs,17,Baylor,fbs,16,-1,Auburn,-6.5,-270,220,-11.264286747298526,10.264286747298526,5.5,105.35558243076815,30.25,1,1,0,0
401856636,2026,1,true,Auburn,fbs,17,Baylor,fbs,16,-1,Auburn,-6.5,,,-11.264286747298526,10.264286747298526,5.5,105.35558243076815,30.25,1,1,0,0
