school,classification,conference,VoA_Rating_Ovr,VoA_Ranking_Ovr
Wisconsin,fbs,Big Ten,2.663195956905014,77
Navy,fbs,American Athletic,2.65924802578661,78
Toledo,fbs,Mid-American,1.8034464577399003,79
California,fbs,ACC,0.3311251225187686,80
Jacksonville State,fbs,Conference USA,0.16447889843793284,81
Liberty,fbs,Conference USA,-1.0258221425763256,82
San Diego State,fbs,Pac-12,-1.2593556892657585,83
Utah State,fbs,Pac-12,-1.8570236849892439,84
UAB,fbs,American Athletic,-2.086715099584193,85
Washington State,fbs,Pac-12,-2.1261828474060245,86
Air Force,fbs,Mountain West,-2.181488081112267,87
New Mexico,fbs,Mountain West,-2.6330790398139747,88
App State,fbs,Sun Belt,-2.9729529817738616,89
Purdue,fbs,Big Ten,-3.2369466332479035,90
Oklahoma State,fbs,Big 12,-3.261203832283215,91
